iter	Passed	Remaining
0	0	84
1	1	80
2	2	76
3	3	76
4	3	75
5	4	73
6	5	71
7	6	70
8	6	67
9	7	65
10	7	63
11	8	61
12	9	60
13	9	58
14	10	57
15	10	56
16	11	55
17	11	54
18	12	52
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	40	18
69	41	17
70	42	17
71	42	16
72	43	15
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
