iter	Passed	Remaining
0	140	140625
1	141	70632
2	142	47266
3	143	35618
4	143	28611
5	144	23923
6	145	20592
7	146	18139
8	147	16187
9	147	14628
10	148	13369
11	149	12314
12	150	11409
13	150	10630
14	151	9968
15	152	9371
16	153	8851
17	153	8384
18	154	7967
19	154	7594
20	155	7258
21	156	6949
22	157	6669
23	157	6412
24	158	6175
25	158	5953
26	159	5750
27	160	5571
28	161	5398
29	161	5235
30	162	5083
31	163	4944
32	164	4811
33	164	4681
34	165	4560
35	166	4449
36	166	4341
37	167	4239
38	168	4140
39	168	4046
40	169	3957
41	169	3871
42	170	3790
43	170	3714
44	171	3641
45	172	3569
46	172	3500
47	173	3434
48	173	3371
49	174	3312
50	175	3259
51	175	3204
52	176	3151
53	176	3100
54	177	3052
55	178	3004
56	178	2958
57	179	2914
58	180	2873
59	180	2832
60	181	2791
61	181	2751
62	182	2712
63	182	2675
64	183	2638
65	183	2603
66	184	2568
67	184	2535
68	185	2503
69	186	2471
70	186	2441
71	187	2411
72	187	2382
73	188	2354
74	188	2326
75	189	2300
76	189	2277
77	190	2251
78	191	2226
79	191	2203
80	192	2181
81	192	2158
82	193	2134
83	193	2113
84	194	2092
85	194	2072
86	195	2052
87	196	2032
88	196	2012
89	197	1993
90	197	1974
91	198	1956
92	198	1938
93	199	1920
94	199	1902
95	200	1885
96	200	1868
97	201	1852
98	201	1836
99	202	1820
100	202	1805
101	203	1790
102	204	1777
103	204	1764
104	205	1750
105	205	1736
106	206	1724
107	207	1711
108	207	1699
109	208	1687
110	209	1675
111	209	1662
112	210	1649
113	210	1637
114	211	1625
115	211	1614
116	212	1601
117	212	1590
118	213	1578
119	213	1567
120	214	1557
121	214	1545
122	215	1535
123	219	1548
124	220	1544
125	221	1536
126	222	1526
127	222	1518
128	223	1510
129	224	1501
130	225	1493
131	225	1485
132	226	1477
133	227	1469
134	228	1461
135	228	1454
136	229	1446
137	230	1438
138	231	1431
139	231	1423
140	232	1415
141	232	1406
142	233	1401
143	234	1396
144	235	1389
145	236	1384
146	237	1378
147	238	1371
148	239	1365
149	239	1358
150	240	1352
151	241	1346
152	242	1340
153	242	1333
154	243	1327
155	244	1321
156	244	1315
157	245	1309
158	246	1303
159	247	1298
160	247	1290
161	264	1367
162	265	1362
163	266	1356
164	266	1349
165	267	1343
166	268	1337
167	268	1330
168	269	1324
169	270	1318
170	270	1312
171	271	1306
172	272	1301
173	272	1294
174	273	1288
175	273	1282
176	274	1276
177	275	1270
178	275	1264
179	276	1258
180	276	1252
181	277	1246
182	277	1240
183	278	1234
184	278	1228
185	279	1223
186	280	1218
187	280	1212
188	281	1206
189	281	1201
190	282	1196
191	283	1191
192	283	1186
193	284	1181
194	284	1175
